[2025-06-05 15:28:37] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git%3Ba=commit%3Bh=ff012870b2c02a62598c04daa1e54632e020fd7d".
[2025-06-05 15:28:37] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=ff012870b2c02a62598c04daa1e54632e020fd7d".
[2025-06-05 15:28:37] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 16 of 25: "CVE-2021-38604" from "https://www.cvedetails.com/cve/CVE-2021-38604"...
[2025-06-05 15:28:40] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git%3Ba=commit%3Bh=b805aebd42364fe696e417808a700fdb9800c9e8".
[2025-06-05 15:28:40] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=b805aebd42364fe696e417808a700fdb9800c9e8".
[2025-06-05 15:28:40] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git%3Ba=commit%3Bh=4cc79c217744743077bf7a0ec5e0a4318f1e6641".
[2025-06-05 15:28:40] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=4cc79c217744743077bf7a0ec5e0a4318f1e6641".
[2025-06-05 15:28:40] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 17 of 25: "CVE-2021-35942" from "https://www.cvedetails.com/cve/CVE-2021-35942"...
[2025-06-05 15:28:42] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=5adda61f62b77384718b4c0d8336ade8f2b4b35c".
[2025-06-05 15:28:42] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git%3Ba=commit%3Bh=5adda61f62b77384718b4c0d8336ade8f2b4b35c".
[2025-06-05 15:28:42] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 18 of 25: "CVE-2021-33574" from "https://www.cvedetails.com/cve/CVE-2021-33574"...
[2025-06-05 15:28:45] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 19 of 25: "CVE-2021-27645" from "https://www.cvedetails.com/cve/CVE-2021-27645"...
[2025-06-05 15:28:47] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 20 of 25: "CVE-2021-3999" from "https://www.cvedetails.com/cve/CVE-2021-3999"...
[2025-06-05 15:28:48] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 21 of 25: "CVE-2021-3998" from "https://www.cvedetails.com/cve/CVE-2021-3998"...
[2025-06-05 15:28:51] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 22 of 25: "CVE-2021-3326" from "https://www.cvedetails.com/cve/CVE-2021-3326"...
[2025-06-05 15:28:52] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=7d88c6142c6efc160c0ee5e4f85cde382c072888".
[2025-06-05 15:28:52] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 23 of 25: "CVE-2020-29573" from "https://www.cvedetails.com/cve/CVE-2020-29573"...
[2025-06-05 15:28:55] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 24 of 25: "CVE-2020-29562" from "https://www.cvedetails.com/cve/CVE-2020-29562"...
[2025-06-05 15:28:56] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 25 of 25: "CVE-2020-27618" from "https://www.cvedetails.com/cve/CVE-2020-27618"...
[2025-06-05 15:28:59] [INFO] [collect_vulnerabilities.py:121] main: Finished running for the project "Glibc".
[2025-06-05 15:28:59] [INFO] [collect_vulnerabilities.py:123] main: Finished running.
